PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-18,20:34:54.27,1,1,"Tarpley, Stephen",605501,Left,SUL_MON,"Hamilton, Billy",571740,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64022,-1.682424,3.930916,2210.031056,144.637615,10:45,5.95585,-2.46978,5.91312,-20.14981,14.07052,-9.1817,2.71112,0.41907,82.56822,-5.476476,2.28765,0.42103,,,,,,,,,,,,5.82465,8.02878,2.15939,50,5.8092,-8.62671,-131.29827,-4.50379,10.13508,28.63621,-18.20374,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,7ef51400-1cbe-11f0-8070-2d7b5a4bf66b,89.52425,,,8.072,,,,,,,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:34:54.27,2025-04-18T20:34:54.2711296-05:00,2025-04-19T01:34:54.2711296Z,,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,e34fd167-fca5-407f-b4e2-42ca6c728223,54.58355,-132.29416,14.31811,5.95482,-3.87071,-9.10187,2.46554,-8.97918,5.06754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-18,20:35:08.51,1,2,"Tarpley, Stephen",605501,Left,SUL_MON,"Hamilton, Billy",571740,Right,CHA_JAL1,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.67401,-0.79181,2.737956,2224.666591,102.575659,9:30,5.84419,-2.65407,5.90116,-27.46253,4.1724,-14.53146,2.81972,-1.32144,86.26076,-5.86511,0.130097,0.404813,,,,,,,,,,,,8.13595,2.64071,2.4421,50,5.76473,-5.86457,-136.07813,-2.89216,15.36123,27.92142,-27.18824,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,8771c6f0-1cbe-11f0-8070-2d7b5a4bf66b,93.11064,,,7.41325,,,,,,,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:35:08.51,2025-04-18T20:35:08.5106688-05:00,2025-04-19T01:35:08.5106688Z,,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,cf7236fd-9d56-4b5e-986b-a66d303b7584,54.59803,-137.01833,13.96071,5.84671,-1.97665,-13.59412,2.64829,-6.38183,7.68062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-18,20:35:24.62,1,3,"Tarpley, Stephen",605501,Left,SUL_MON,"Hamilton, Billy",571740,Right,CHA_JAL1,Undefined,1,Top,0,1,1,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,92.01556,-2.432623,3.355781,2222.625298,141.311428,10:45,6.01822,-2.57321,6.05013,-18.84241,14.16552,-10.46953,2.19091,-0.33566,83.90329,-5.991381,1.474667,0.413505,74.57577,67.759077,14.981131,,93.19555,91.65233,58.43447,139.82517,56.07333,33.071071,5.524246,6.37681,8.32953,2.3176,50,5.8185,-7.37745,-133.36664,-6.26152,11.44553,29.60711,-17.22365,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,91252520-1cbe-11f0-8070-2d7b5a4bf66b,91.15355,125.50574,,8.11227,,,,1.40185,2.00435,0.05219,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:35:24.62,2025-04-18T20:35:24.6275584-05:00,2025-04-19T01:35:24.6275584Z,Popup,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,4c3a77c9-0b9d-4d3b-a409-79bac46f94a0,54.44768,-134.35039,14.80355,6.01704,-5.68923,-8.61182,2.56905,-7.75774,5.72276,198.759643,1.40353,39.91874,-10.44458,2.20908,0.14598,-0.25501,0.07574,-0.01003,0.00051,1.98698,101.55868,-26.71834,4.58864,-1.76713,0.54563,-0.10448,0.01056,-0.00043,0.0563,10.65638,3.30087,-1.21097,0.16284,0.04191,-0.02262,0.00369,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2025-04-18,20:36:02.53,2,1,"Tarpley, Stephen",605501,Left,SUL_MON,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.66135,-1.807759,5.490003,2240.325256,98.020935,9:15,5.81207,-2.68852,6.01162,-27.83064,3.10209,-15.73678,1.80992,1.1015,87.5359,-6.930699,2.674432,0.400295,,,,,,,,,,,,9.53296,2.28016,2.26554,50,5.65406,-12.51308,-137.10584,-5.35663,18.35269,27.07789,-27.7843,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,a7bb0160-1cbe-11f0-8070-2d7b5a4bf66b,94.16157,,,7.12544,,,,,,,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:36:02.53,2025-04-18T20:36:02.5344512-05:00,2025-04-19T01:36:02.5344512Z,,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,122b2f28-5606-4f84-afca-d31feff57d95,54.48992,-137.98974,13.53894,5.81411,-4.44968,-13.89215,2.68378,-13.11216,9.17635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-18,20:36:17.30,2,2,"Tarpley, Stephen",605501,Left,SUL_MON,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.97458,-2.25953,3.20624,2216.368942,146.085327,10:45,5.95675,-2.30693,6.02977,-19.51064,13.43536,-8.325,2.23404,-0.02842,84.14079,-5.929935,1.710802,0.413117,89.2613,23.512816,1.377358,3150.757506,109.82521,41.55467,6.19398,326.54608,320.05958,7.548361,4.051998,5.20418,7.87284,2.06079,50,5.76928,-7.12233,-133.38176,-5.89063,9.3723,28.77299,-17.99565,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,b08b2b80-1cbe-11f0-8070-2d7b5a4bf66b,91.23917,52.09625,,7.83379,,,,1.94888,2.30781,0.03157,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:36:17.30,2025-04-18T20:36:17.3012480-05:00,2025-04-19T01:36:17.3012480Z,LineDrive,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,e19d2aee-3ce3-4d06-8fb9-4a93e200b6ea,54.46858,-134.34226,14.3865,5.9559,-5.2899,-8.99782,2.30377,-7.4352,4.68615,201.41759,1.94805,120.03255,-19.76418,4.55248,-1.02989,0.24616,-0.05221,0.00704,-0.0004,2.30894,52.20305,-14.34488,0.3468,0.04135,-0.04447,0.01534,-0.00221,0.0001,0.03173,2.8811,3.55082,-0.77454,0.19268,-0.05589,0.01346,-0.0019,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-04-18,20:37:03.41,3,1,"Tarpley, Stephen",605501,Left,SUL_MON,"Gil, Mateo",680771,Right,CHA_JAL1,Undefined,1,Top,2,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.97756,0.510362,2.428921,2139.737536,211.170235,1:00,5.90831,-2.57905,5.60221,-28.85915,8.48225,4.43374,3.98026,0.05924,79.60705,-4.826693,3.21899,0.439812,,,,,,,,,,,,-1.56724,4.51658,2.36817,50,5.93347,-5.54427,-126.20112,0.1212,-2.52988,25.46175,-24.88328,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,cbf63680-1cbe-11f0-8070-2d7b5a4bf66b,85.70133,,,7.37052,,,,,,,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:37:03.41,2025-04-18T20:37:03.4129920-05:00,2025-04-19T01:37:03.4129920Z,,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,039df9c2-4b6e-4d86-9805-e7009f0c77c8,54.89422,-127.18472,12.73088,5.91022,1.08246,-12.44164,2.58046,-5.44653,-1.26494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-18,20:37:17.46,3,2,"Tarpley, Stephen",605501,Left,SUL_MON,"Gil, Mateo",680771,Right,CHA_JAL1,Undefined,1,Top,2,1,0,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.55161,-1.328588,2.964945,2203.939923,98.885427,9:15,5.81867,-2.54869,5.86887,-30.39336,3.17961,-13.23654,2.04994,-0.89524,83.49107,-6.944686,0.590607,0.417029,57.32606,-54.85288,-55.098114,,,,,3.04703,2.41771,-8.086496,0.036569,7.67024,2.33536,2.31637,50,5.69333,-6.30709,-132.79141,-4.18023,13.61678,29.96794,-28.02813,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,d46cf600-1cbe-11f0-8070-2d7b5a4bf66b,90.38324,2.52809,,8.06054,,,,1.99834,2.52809,1.03112,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:37:17.46,2025-04-18T20:37:17.4669824-05:00,2025-04-19T01:37:17.4669824Z,GroundBall,v3,562,6304,809520,"Escarrega, Christopher",692473,Right,SUL_MON,871e7f24-e520-4d14-b497-a6893f0eb05f,54.62967,-133.83214,14.98397,5.8216,-3.20686,-14.01407,2.54362,-6.77998,6.80839,,1.99743,27.84903,,,,,,,,2.53035,-69.13291,,,,,,,,1.03242,-39.91785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-04-18,20:39:36.52,1,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Casey, Donovan",661541,Right,SUL_MON,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,86.09724,-1.798123,-1.960453,2079.273484,192.989037,12:30,6.31367,0.87698,6.63576,-21.98942,15.2543,3.20339,2.83357,-0.65154,77.6437,-6.01716,-1.37758,0.439236,99.00095,9.573668,21.256916,2596.209738,100.34416,12.07975,45.06677,199.01575,197.18288,26.609546,1.749357,-2.33374,9.02296,-0.74568,50,6.18304,4.15656,-124.91792,-4.4868,-3.62156,29.36649,-18.17201,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,27574f50-1cbf-11f0-8070-2d7b5a4bf66b,85.81366,12.13156,,8.45355,,,,1.14153,2.80391,0.64451,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:39:36.52,2025-04-18T20:39:36.5265920-05:00,2025-04-19T01:39:36.5265920Z,LineDrive,v3,562,6304,809520,"Hurtado, Alfredo",685771,Right,CHA_JAL1,28108a18-090b-4229-bd09-161ba1fba57b,53.85944,-125.82195,14.68325,6.31256,-3.92739,-9.08601,-0.87535,4.26805,-1.81078,248.213229,1.14153,133.43751,-24.49499,4.80141,-1.2961,0.62795,-0.34363,0.11329,-0.01551,2.80391,24.14932,-16.56891,1.37578,-0.18867,-0.07716,0.09324,-0.03612,0.00524,0.64449,51.91,0.36249,-1.09966,0.6914,-0.67231,0.45675,-0.16116,0.02274,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-18,20:40:21.18,2,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Nunez, Gustavo",516631,Left,SUL_MON,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14341,-3.246215,-1.711337,2054.891919,204.150465,12:45,6.22589,0.8102,6.73385,-19.46151,17.23363,7.17552,1.6333,-0.15607,78.65246,-6.973005,-0.402578,0.435989,,,,,,,,,,,,-4.28929,10.43457,-0.69991,50,6.00397,3.47442,-125.02219,-7.56608,-6.75293,26.45201,-15.74611,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,41ee6880-1cbf-11f0-8070-2d7b5a4bf66b,86.4527,,,7.49095,,,,,,,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:40:21.18,2025-04-18T20:40:21.1880000-05:00,2025-04-19T01:40:21.1880000Z,,v3,562,6304,809520,"Hurtado, Alfredo",685771,Right,CHA_JAL1,56dee429-b849-4d92-af75-3955ef9d9886,53.76277,-125.81579,13.226,6.22388,-7.09367,-7.87305,-0.80719,3.67702,-3.37646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07471,,0.748595,,-0.21996,1.43116,0.16698,-0.48788,5.82265,0.04952,,,,-0.37025,117.16104,-11.97295,5.83916,6.85877,-11.71561,0.02223,-1.78339,1.99933,High,High,High,,,High,High,Medium
10,2025-04-18,20:40:59.43,2,2,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Nunez, Gustavo",516631,Left,SUL_MON,Undefined,1,Bottom,0,1,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.6286,-2.490152,-2.410841,2055.460468,215.375714,1:15,6.25206,0.64746,6.51177,-20.92682,14.213,9.218,2.21962,-0.79797,80.41162,-6.477529,-0.737608,0.426649,96.58452,-4.636894,12.480292,,,,,21.96955,18.86303,12.957542,0.149851,-5.59504,8.59111,-0.48308,50,6.06905,5.05875,-128.56565,-6.17073,-9.25882,29.46661,-17.95722,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,58b95e80-1cbf-11f0-8070-2d7b5a4bf66b,88.34525,1.9825,,8.21699,,,,1.04936,1.9825,0.62396,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:40:59.43,2025-04-18T20:40:59.4308608-05:00,2025-04-19T01:40:59.4308608Z,GroundBall,v3,562,6304,809520,"Hurtado, Alfredo",685771,Right,CHA_JAL1,5f7677ba-1dbb-4fe5-922e-b6e6192d06de,53.98518,-129.47581,14.73331,6.25109,-5.61607,-8.97861,-0.64375,5.34473,-4.62941,107.860658,1.0496,137.83667,-13.12295,,,,,,,1.98257,-11.45733,-11.83403,,,,,,,0.6243,30.48246,-11.85716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
11,2025-04-18,20:41:41.36,3,1,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Mendoza, Victor",628013,Left,SUL_MON,Undefined,1,Bottom,1,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.26884,-1.838913,-1.509665,2156.040533,191.515156,12:30,6.24815,0.61102,6.77176,-19.48765,15.82843,2.95579,2.94389,-0.52147,79.36896,-5.610054,-0.970277,0.427718,82.79033,-24.753635,63.349585,,,,,8.41079,3.86503,49.878387,0.058818,-2.08221,9.38902,-0.51362,50,6.12066,3.26672,-128.1136,-4.59292,-3.388,31.64469,-16.89688,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,71b5da80-1cbf-11f0-8070-2d7b5a4bf66b,88.1245,2.99959,,8.89989,,,,2.50199,2.99959,0.61717,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:41:41.36,2025-04-18T20:41:41.3693952-05:00,2025-04-19T01:41:41.3693952Z,GroundBall,v3,562,6304,809520,"Hurtado, Alfredo",685771,Right,CHA_JAL1,cc24b873-d87d-47c7-8706-9052c348af53,53.72396,-129.03016,15.82234,6.2466,-4.10352,-8.44844,-0.60966,3.36485,-1.694,,2.50056,49.61139,,,,,,,,3.00106,-50.99811,,,,,,,,0.61432,98.8543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
12,2025-04-18,20:42:06.46,3,2,"Rodriguez, Dereck",605446,Right,CHA_JAL1,"Mendoza, Victor",628013,Left,SUL_MON,Undefined,1,Bottom,1,0,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,82.2158,-1.34464,-1.138464,1339.353446,219.990426,1:15,6.1176,0.81045,6.24983,-34.40703,6.78382,4.49099,2.00983,0.13465,74.78492,-7.767706,-0.325765,0.461925,91.7993,15.011401,27.10107,2128.866061,96.54702,18.88591,52.71296,230.16802,230.16802,31.501798,2.137486,-2.70378,4.34524,-0.72806,50,6.00086,2.20751,-119.36791,-3.82552,-3.85189,25.68053,-25.98366,SUL_MON,CHA_JAL1,EstadioMonterrey,Undefined Level,MEX,20250418-EstadioMonterrey-1,80ae1930-1cbf-11f0-8070-2d7b5a4bf66b,81.59855,19.01707,,7.43088,,,,2.5367,2.12995,-0.19236,7f945ef0-bc0f-4e06-a38d-31717981aa59,2025-04-19,01:42:06.46,2025-04-18T20:42:06.4621568-05:00,2025-04-19T01:42:06.4621568Z,LineDrive,v3,562,6304,809520,"Hurtado, Alfredo",685771,Right,CHA_JAL1,c45079e7-dbcc-4362-b100-76ae61f85489,54.24749,-120.27823,12.84027,6.12014,-2.90445,-12.99183,-0.80874,2.34405,-1.92595,257.491018,2.53672,115.76584,-16.41022,3.22288,-0.904,0.45425,-0.22085,0.06094,-0.00687,2.12994,34.87296,-19.49192,1.7709,-0.20233,-0.15243,0.1267,-0.03909,0.00459,-0.19239,59.24313,-1.48184,-0.0155,0.36252,-0.48064,0.28997,-0.08486,0.00981,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
