PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-22,21:07:57.56,1,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Stowers, Josh",663618,Right,VAQ_LAG,Undefined,1,Top,0,0,0,Undefined,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,93.85547,-1.371045,-4.865287,2391.783675,233.264327,1:45,5.61262,3.26478,6.52249,-22.04233,8.37319,10.22178,2.51309,-0.35787,87.77194,-5.480351,-3.018237,0.396935,89.70367,43.645495,18.810249,5904.605642,100.84795,96.58524,43.9277,320.77445,303.0932,29.258003,5.823901,-6.42784,4.92579,-2.9301,50,5.50712,11.21012,-136.31354,-3.97087,-12.39203,23.04546,-22.67774,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,c6cd5fe0-1fe7-11f0-9f0b-dbd9cd9e72d8,94.95876,121.65923,,6.08354,,,,1.03911,2.47366,0.38579,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:07:57.56,2025-04-22T21:07:57.5692800-05:00,2025-04-23T02:07:57.5692800Z,FlyBall,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,5f6c3927-3fa1-45b9-9742-2aec4d18847b,53.97913,-136.9846,11.52273,5.61313,-3.31051,-11.33887,-3.26178,11.57097,-6.19602,200.431278,1.04189,90.06442,-21.39563,5.47519,-0.89118,0.05525,0.0083,-0.00166,8E-05,2.47073,90.84528,-19.62924,1.0569,-0.04779,-0.03519,0.01509,-0.00243,0.00013,0.38632,30.68604,-0.4897,-0.30635,0.14107,-0.03066,0.00316,-8E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-04-22,21:08:36.37,2,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.48165,-0.612485,-3.287697,2333.28567,245.170729,2:15,5.50507,3.39718,6.49975,-26.06269,4.59831,8.27969,2.77006,1.0662,87.21716,-5.459773,-1.787048,0.398533,,,,,,,,,,,,-5.06591,2.80122,-3.17044,50,5.45068,7.4854,-136.00989,-2.31226,-9.68881,23.95151,-26.81657,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,dddadd20-1fe7-11f0-9f0b-dbd9cd9e72d8,94.57792,,,6.26449,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:08:36.37,2025-04-22T21:08:36.3772416-05:00,2025-04-23T02:08:36.3772416Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,cb39cd49-57da-4787-8782-0868c14de878,54.00079,-136.71262,11.97575,5.50698,-1.52547,-13.40828,-3.39423,7.76967,-4.8444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-22,21:08:50.63,2,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,1,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.79414,-1.254954,-4.287255,2366.267636,133.070848,10:30,5.52686,3.29048,6.20889,-33.5151,3.08421,-2.15843,1.57226,-0.85364,80.22697,-7.43556,-4.675415,0.43542,,,,,,,,,,,,-0.00642,2.24488,-2.96729,50,5.41559,9.52034,-125.89385,-3.84904,-0.01032,24.35376,-28.55306,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,e67b92d0-1fe7-11f0-9f0b-dbd9cd9e72d8,86.5658,,,6.56717,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:08:50.63,2025-04-22T21:08:50.6372608-05:00,2025-04-23T02:08:50.6372608Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,37eefe8f-1aba-4ac2-948c-45746506c86b,54.29051,-126.72111,12.17688,5.52987,-2.87912,-14.27653,-3.29069,9.52069,-0.00516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-22,21:09:08.27,2,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.60165,-0.841022,-2.585142,1865.715262,231.084129,1:45,5.48653,3.35855,6.33514,-25.05745,6.49067,7.00807,2.62322,1.56073,86.05706,-5.503552,-1.317667,0.404258,,,,,,,,,,,,-4.24894,3.85173,-3.1734,50,5.41329,5.7982,-134.71305,-2.80875,-7.93694,24.73525,-24.97908,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,f0fd3d80-1fe7-11f0-9f0b-dbd9cd9e72d8,93.23865,,,6.54459,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:09:08.27,2025-04-22T21:09:08.2754560-05:00,2025-04-23T02:09:08.2754560Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,5c07af87-b35a-4ac9-b3ff-85bcd6105122,54.16445,-135.47555,12.36762,5.48801,-2.03873,-12.48954,-3.3559,6.04286,-3.96847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-22,21:09:30.10,2,4,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,2,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.46223,0.04561,-2.287626,2573.892682,64.185748,8:15,5.58894,3.46633,5.85405,-39.26837,-0.45197,-3.14642,2.359,1.07751,78.36723,-7.146728,-2.851807,0.448414,,,,,,,,,,,,1.04717,0.07917,-3.27864,50,5.56949,5.02888,-122.79128,-1.24198,1.6154,21.94584,-32.0519,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,fe08ee70-1fe7-11f0-9f0b-dbd9cd9e72d8,84.05728,,,6.095,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:09:30.10,2025-04-22T21:09:30.1090304-05:00,2025-04-23T02:09:30.1090304Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,88dcdc6b-72b9-44a6-9a0a-1f8352d519d3,54.64604,-123.61885,10.97292,5.59353,-0.03331,-16.02595,-3.46713,4.96796,0.8077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-22,21:09:47.04,2,5,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gregorius, Didi",544369,Left,VAQ_LAG,Undefined,1,Top,1,2,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.81135,-1.097021,-3.71673,2550.028009,98.734983,9:15,5.48699,3.46877,5.91283,-37.03675,1.31811,-2.03016,1.38018,-0.15475,79.16385,-7.861331,-4.080413,0.44574,,,,,,,,,,,,0.17579,1.20591,-3.16922,50,5.37729,8.07948,-123.18626,-3.60245,0.27415,21.05028,-30.29343,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,081716d0-1fe8-11f0-9f0b-dbd9cd9e72d8,84.56147,,,5.6475,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:09:47.04,2025-04-22T21:09:47.0426112-05:00,2025-04-23T02:09:47.0426112Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,8177cdea-bbed-405d-8ac1-692faa76a7e8,54.58829,-123.96784,10.52514,5.49017,-2.47769,-15.14671,-3.46901,8.0693,0.13707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-22,21:10:22.00,3,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Villar, Jonathan",542340,Left,VAQ_LAG,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.22273,-1.27649,-5.269052,2494.559419,215.335291,1:15,5.59357,3.13408,6.23979,-19.19576,10.86036,7.14587,2.81131,-1.14431,88.56424,-4.858321,-3.98702,0.394583,,,,,,,,,,,,-4.86579,6.17855,-2.744,50,5.48839,12.42957,-138.07036,-3.71881,-9.58216,24.93036,-20.00673,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,1cccc160-1fe8-11f0-9f0b-dbd9cd9e72d8,95.52482,,,6.65849,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:10:22.00,2025-04-22T21:10:22.0012032-05:00,2025-04-23T02:10:22.0012032Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,97c23a0d-8d78-426c-9a10-859c1c9a51da,54.25944,-138.83732,12.46518,5.59333,-3.10332,-10.00337,-3.13092,12.72436,-4.79108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-22,21:10:37.88,3,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Villar, Jonathan",542340,Left,VAQ_LAG,Undefined,1,Top,2,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.52269,-1.184799,-3.100347,2059.249206,253.862871,2:30,5.5283,3.3037,6.51914,-26.26068,4.39736,12.47768,2.25109,1.4961,87.16886,-6.06973,-0.836018,0.398514,,,,,,,,,,,,-7.27615,2.82181,-3.09295,50,5.43421,6.88333,-136.07639,-3.67616,-13.90025,24.5794,-26.78333,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,26628570-1fe8-11f0-9f0b-dbd9cd9e72d8,94.58249,,,6.35383,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:10:37.88,2025-04-22T21:10:37.8834944-05:00,2025-04-23T02:10:37.8834944Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,d1869116-976d-458b-98a7-6de811bab756,53.98212,-136.79378,12.2897,5.5301,-2.89444,-13.39166,-3.29978,7.28904,-6.95012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-22,21:10:54.90,3,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Villar, Jonathan",542340,Left,VAQ_LAG,Undefined,1,Top,2,2,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.97425,0.913983,-2.645097,2398.413772,76.992272,8:30,5.47184,3.43538,6.01224,-38.10085,0.17295,-3.97772,3.14443,0.65184,78.44139,-6.105309,-3.359486,0.445269,,,,,,,,,,,,1.35693,0.22717,-3.2257,50,5.52296,5.8615,-123.45539,0.69083,2.10928,22.9202,-31.82094,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,3071e650-1fe8-11f0-9f0b-dbd9cd9e72d8,84.65101,,,6.53285,,,,,,,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:10:54.90,2025-04-22T21:10:54.9089280-05:00,2025-04-23T02:10:54.9089280Z,,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,84d0c968-15f9-499b-bec3-36ea742d6592,54.4864,-124.28553,11.4601,5.47706,1.84334,-15.91047,-3.43661,5.7851,1.05464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-22,21:11:13.64,3,4,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Villar, Jonathan",542340,Left,VAQ_LAG,Undefined,1,Top,2,2,1,Undefined,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,93.76515,-0.940276,-4.544161,2423.095145,246.37314,2:15,5.50044,3.28776,6.67874,-25.21608,5.18611,10.06512,2.53621,-0.0389,87.31771,-5.647063,-2.718125,0.396848,100.14329,16.418025,-8.544398,2813.945878,107.60913,28.16788,-22.80907,326.32778,309.15128,-18.3065,3.239959,-6.37071,3.19103,-2.98745,50,5.42717,10.44688,-136.23676,-3.03456,-12.20106,24.59429,-26.06269,CHA_JAL1,VAQ_LAG,Panamericano,Undefined Level,MEX,20250422-Panamericano-1,3ba7ece0-1fe8-11f0-9f0b-dbd9cd9e72d8,94.97961,33.90131,,6.44744,,,,1.03075,2.52885,0.06419,27117447-fc03-4f05-9d59-97250ea476f9,2025-04-23,02:11:13.64,2025-04-22T21:11:13.6433664-05:00,2025-04-23T02:11:13.6433664Z,LineDrive,v3,6304,447,809144,"Mendivil, Carlos",641104,Right,CHA_JAL1,1f8b8b4f-0511-4fbf-8fbf-821980e37eed,53.82252,-136.92509,12.29715,5.50189,-2.30514,-13.03135,-3.28461,10.78835,-6.10053,127.787766,1.03087,139.31956,-23.41676,5.06261,-0.92044,0.09618,0.00708,-0.00422,0.00047,2.52869,41.51998,-13.97641,-0.02508,0.12399,0.02332,-0.02702,0.00781,-0.00078,0.06423,-20.9339,-8.25936,3.18606,-0.9283,0.21047,-0.03571,0.00378,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
