PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,20:30:52.58,1,1,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.88853,-3.173133,-4.005103,2392.891212,213.208219,1:00,6.32653,1.83518,5.02031,-17.15017,15.92166,9.83733,1.89243,-1.13086,86.40178,-6.323831,-2.273777,0.413905,,,,,,,,,,,,-5.80311,8.90493,-1.4594,50,6.00806,8.95698,-134.55971,-8.12434,-10.85203,23.73823,-15.52148,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,400e64c0-27be-11f0-8a21-9577b6791e22,91.06545,,,6.48675,,,,,,,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:30:52.58,2025-05-02T20:30:52.5821952-05:00,2025-05-03T01:30:52.5821952Z,,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,1c653043-c89d-402e-b218-99754ee04446,55.48182,-135.52333,11.86912,6.32507,-7.49427,-7.76074,-1.83194,9.3975,-5.42601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,20:31:05.53,1,2,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.41203,-3.197386,-3.775701,2319.991773,212.155204,1:00,6.23221,1.88356,5.16631,-17.82922,15.58839,9.19367,1.72751,-0.909,85.49238,-6.487356,-2.152475,0.416063,,,,,,,,,,,,-5.51784,8.85532,-1.5385,50,5.91984,8.40438,-133.83196,-8.14466,-10.14135,25.2697,-15.89873,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,47c074b0-27be-11f0-8a21-9577b6791e22,90.59311,,,6.91965,,,,,,,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:31:05.53,2025-05-02T20:31:05.5321088-05:00,2025-05-03T01:31:05.5321088Z,,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,11df58d3-d404-46ea-b2a8-286454bfb2e2,55.33499,-134.83553,12.63485,6.23076,-7.51324,-7.94937,-1.88027,8.80714,-5.07067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,20:31:18.50,1,3,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.32446,0.144303,-3.412445,2413.309713,137.45814,10:30,5.84929,2.28337,4.93865,-37.27502,2.81228,-1.64469,2.87967,-1.08273,78.70811,-6.563839,-3.701691,0.455696,,,,,,,,,,,,0.0585,1.66638,-1.94987,50,5.83213,7.37082,-122.41287,-1.12529,0.09049,19.70152,-29.5957,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,4f84ad10-27be-11f0-8a21-9577b6791e22,82.71407,,,5.61634,,,,,,,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:31:18.50,2025-05-02T20:31:18.5049600-05:00,2025-05-03T01:31:18.5049600Z,,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,e84037e5-7039-467d-bbbd-603fc3488374,55.56354,-123.30504,9.85076,5.85274,0.21492,-14.79785,-2.28355,7.36672,0.04525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,20:31:33.33,1,4,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.85352,-1.600138,-3.263019,2337.456516,221.450435,1:30,6.20412,1.8757,5.20074,-21.19985,11.57646,9.45371,2.92961,-0.40888,86.29501,-5.484781,-1.591139,0.412051,93.28573,12.496616,57.950927,4269.579108,53.32985,19.31841,96.20756,248.32395,143.74643,65.475642,2.444254,-5.48433,6.42288,-1.58069,50,6.03967,7.24593,-134.78967,-4.58695,-10.27894,24.14562,-20.1361,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,584df960-27be-11f0-8a21-9577b6791e22,91.47508,19.94318,,6.55851,,,,0.76007,3.04088,0.1489,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:31:33.33,2025-05-02T20:31:33.3371904-05:00,2025-05-03T01:31:33.3371904Z,LineDrive,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,39046817-6057-4a87-b0f6-fd534919ab2e,55.30127,-135.736,12.07281,6.20398,-3.79776,-10.06805,-1.87257,7.64878,-5.13947,,0.76007,70.88217,-18.78877,4.41924,-0.99486,0.21031,-0.03956,0.00547,-0.00037,3.04088,29.60513,-13.15018,0.07222,0.11923,-0.04524,0.01221,-0.00187,0.00013,0.1489,113.21939,-12.41323,2.27359,-0.39257,0.06357,-0.00956,0.00112,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-05-02,20:31:51.68,1,5,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.43945,0.855857,-2.29875,2142.297679,18.273156,6:30,6.09835,1.87633,5.33068,-56.31519,-14.51934,-5.18996,2.20917,-0.71423,76.38841,-9.292757,-3.221667,0.465305,71.58395,-59.808422,68.553958,,,,,1.99441,1.99441,69.813048,0.022164,2.00185,-7.20937,-1.66461,50,6.13449,5.02022,-119.76475,-0.30138,2.9181,22.3455,-42.68314,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,6342ff50-27be-11f0-8a21-9577b6791e22,81.00584,2.01707,,6.05104,,,,0.25915,2.01707,0.77958,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:31:51.68,2025-05-02T20:31:51.6835328-05:00,2025-05-03T01:31:51.6835328Z,GroundBall,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,c0ab67e6-290c-4b87-8f5c-ea35f9731d6a,55.17425,-120.7263,11.17275,6.10794,1.53531,-21.34157,-1.87793,4.89465,1.45905,,0.25896,19.35958,,,,,,,,2.01799,-91.00677,,,,,,,,0.77908,49.28321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-05-02,20:32:16.02,1,6,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.5819,-1.679024,-2.638772,2328.542358,218.912647,1:15,6.22068,1.78589,5.29975,-18.77832,13.90741,10.55662,3.07737,0.18649,86.34599,-5.137126,-0.766835,0.411482,68.65699,41.223645,102.967386,5216.765706,-36.32337,61.75759,103.82971,241.09997,78.46673,113.609567,3.927087,-5.89996,7.61489,-1.55401,50,6.05424,5.72187,-134.54321,-4.64288,-11.06049,22.96864,-17.89868,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,71bb3890-27be-11f0-8a21-9577b6791e22,91.60178,62.36258,,6.2359,,,,1.31168,2.90064,-0.30356,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:32:16.02,2025-05-02T20:32:16.0297472-05:00,2025-05-03T01:32:16.0297472Z,Popup,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,e1a6f1b1-b3e5-4581-bd7c-3ad2aa212b17,55.20292,-135.42852,11.48432,6.2199,-3.95299,-8.94934,-1.78277,6.14819,-5.53025,306.191768,1.31184,-16.9987,-4.95748,1.45879,-0.33501,0.08239,-0.02154,0.00377,-0.00028,2.90173,66.32561,-20.43167,0.9858,0.35135,-0.30859,0.10104,-0.01587,0.00097,-0.30316,73.79817,-11.10591,3.3128,-0.75083,0.17465,-0.04369,0.00759,-0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-05-02,20:32:35.16,1,7,"Heyer, Kurt",571776,Right,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,0,2,2,Sinker,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,93.01139,-1.351716,-2.220755,2341.346942,213.075362,1:00,6.22139,1.86164,5.48472,-17.24312,15.10784,9.26205,3.51861,0.55469,86.13567,-4.563456,-0.572285,0.409369,53.12931,9.436205,29.808908,4071.240022,,,,74.47853,74.0188,32.594447,1.048469,-5.23638,8.24099,-1.67349,50,6.09119,4.82679,-135.15974,-3.79598,-9.83291,25.28473,-16.69904,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,7d196090-27be-11f0-8a21-9577b6791e22,92.07448,6.04982,,6.87573,,,,0.97761,3.47241,-0.54663,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:32:35.16,2025-05-02T20:32:35.1627776-05:00,2025-05-03T01:32:35.1627776Z,GroundBall,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,0a3587e8-7acc-42b4-92cc-c2120ac8556b,55.0173,-136.0951,12.64237,6.22019,-3.17823,-8.34952,-1.85878,5.19054,-4.91646,254.680596,0.97761,66.69786,-8.3725,1.12776,-0.23914,0.02571,0.00238,-0.0024,0.00055,3.47241,12.7754,-16.15333,0.85823,-0.10956,0.0297,-0.00384,0.00076,-0.00017,-0.54663,38.212,0.82245,-0.35992,0.11415,-0.02079,0.00092,0.00121,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-02,20:33:09.62,2,1,"Heyer, Kurt",571776,Right,SAR_SAL,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.28715,-2.997575,-2.260458,2344.150133,209.111056,1:00,6.3395,1.71701,5.43756,-15.03631,16.54135,8.72634,2.27471,0.32635,87.47306,-5.800189,-0.7086,0.404447,,,,,,,,,,,,-4.93335,9.31489,-1.52316,50,6.06354,4.99923,-136.8547,-7.69197,-9.51088,25.52284,-14.21604,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,91a58a20-27be-11f0-8a21-9577b6791e22,93.19501,,,6.81409,,,,,,,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:33:09.62,2025-05-02T20:33:09.6214528-05:00,2025-05-03T01:33:09.6214528Z,,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,44e4e54a-c3a0-4abf-a966-5154bbf5006e,55.06382,-137.79585,12.76142,6.33751,-7.16775,-7.10802,-1.71397,5.34994,-4.75544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,20:33:22.63,2,2,"Heyer, Kurt",571776,Right,SAR_SAL,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,0,,91.8037,-2.629778,-2.797151,2307.782117,221.494828,1:30,6.24736,1.69924,5.4669,-18.9541,14.44457,11.9293,2.20194,0.07336,84.90614,-6.143255,-0.675104,0.415945,100.38863,13.897106,9.044704,2582.051344,107.77089,21.446,22.0321,286.44831,283.23761,15.989502,2.623511,-6.74839,8.2378,-1.46157,50,6.00273,5.97971,-133.20791,-6.79298,-12.27346,25.34344,-17.19174,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,99679fa0-27be-11f0-8a21-9577b6791e22,90.61878,23.56147,,6.89756,,,,1.39731,2.20599,-0.08163,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:33:22.63,2025-05-02T20:33:22.6313728-05:00,2025-05-03T01:33:22.6313728Z,LineDrive,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,46ec8a87-48c3-4957-9525-c3fd2adaafdf,55.03507,-134.16243,12.67172,6.24638,-6.14548,-8.59587,-1.6955,6.44198,-6.13673,237.306179,1.39728,141.15041,-20.92359,4.05089,-0.75557,0.09877,-0.00371,-0.00142,0.00021,2.20605,35.36088,-15.57099,0.94652,-0.24544,0.11633,-0.04107,0.00863,-0.00076,-0.08155,22.46527,5.64227,-1.71362,0.2776,0.052,-0.0455,0.01144,-0.00107,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-05-02,20:34:12.07,3,1,"Heyer, Kurt",571776,Right,SAR_SAL,"Diaz, Edwin",641521,Right,CHA_JAL1,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.13031,-2.11419,-2.37276,2394.394482,210.320134,1:00,6.21363,1.75543,5.42244,-14.86391,17.87958,9.85764,2.99203,0.35308,85.29293,-4.920735,-0.6207,0.411845,,,,,,,,,,,,-5.58213,9.86351,-1.55175,50,6.01568,5.13453,-135.06172,-5.47363,-10.35057,28.3616,-13.88482,SAR_SAL,CHA_JAL1,FransicoMadero,Undefined Level,MEX,20250502-FransicoMadero-1,b6d901f0-27be-11f0-8a21-9577b6791e22,91.52093,,,7.83739,,,,,,,4950eb8a-17bf-42ec-8c0d-4f8267de04d5,2025-05-03,01:34:12.07,2025-05-02T20:34:12.0752128-05:00,2025-05-03T01:34:12.0752128Z,,v3,502,6304,809840,"Estrada, Rusber",682005,Right,SAR_SAL,978c777b-941e-4d3a-9853-dd086a13bf1b,55.07671,-136.12361,14.1808,6.21089,-4.95377,-6.94241,-1.75125,5.52207,-5.17529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
