PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,19:01:57.01,1,1,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.82433,-2.133467,3.140309,2123.954227,134.643153,10:30,6.37229,-1.72511,6.12406,-26.55824,10.39792,-9.56686,2.18295,0.38361,80.23562,-7.044413,1.417542,0.437537,,,,,,,,,,,,5.70866,6.1463,1.48984,50,6.19456,-6.49156,-124.75747,-5.48237,9.18145,20.27939,-22.28872,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,fe05cec0-287a-11f0-9051-3b231b8373b1,86.14686,,,5.58872,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:01:57.01,2025-05-03T19:01:57.0143744-05:00,2025-05-04T00:01:57.0143744Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,f127c31f-66dd-4277-9916-16bb42e5efdb,54.37936,-125.46732,10.1397,6.37281,-4.70219,-11.14436,1.72269,-6.81294,4.59073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-03,19:02:14.41,1,2,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.76243,-0.189954,0.338636,2312.757185,242.979149,2:00,6.34982,-1.89316,5.67052,-37.06045,3.61343,4.8511,3.08434,-1.17316,76.71053,-6.979711,1.20675,0.459017,,,,,,,,,,,,-2.38599,2.23701,1.86144,50,6.31025,-0.90372,-120.358,-1.6569,-3.53601,21.10388,-28.85881,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,086c9e70-287b-11f0-9051-3b231b8373b1,82.11548,,,6.0519,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:02:14.41,2025-05-03T19:02:14.4181760-05:00,2025-05-04T00:02:14.4181760Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,d78444d4-888d-401c-b54f-fad647c0a0ad,54.83058,-121.20204,10.55194,6.35343,-0.5027,-14.42941,1.89476,-0.76229,-1.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-03,19:02:28.22,1,3,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,1,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.49515,-1.653623,2.093392,2307.764587,207.918651,1:00,6.28754,-1.68802,5.88274,-34.12581,5.29118,2.26795,1.90662,0.44588,78.1429,-7.896894,2.500554,0.451869,95.3861,-12.13913,-47.829914,,,,,12.91317,12.13026,-38.185456,0.07559,-0.70358,3.36626,1.51759,50,6.13372,-4.52345,-121.44343,-4.62003,-1.06969,19.77403,-27.05631,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,109e8cc0-287b-11f0-9051-3b231b8373b1,83.41443,2.22723,,5.35225,,,,3.19856,2.22723,-0.30869,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:02:28.22,2025-05-03T19:02:28.2250752-05:00,2025-05-04T00:02:28.2250752Z,GroundBall,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,02d0179d-0636-4d61-9861-62e4caa6be7e,54.62049,-122.19345,9.88701,6.28949,-3.59381,-13.52815,1.68839,-4.48288,-0.53484,180,3.19682,91.96191,,,,,,,,2.22778,-29.46467,,,,,,,,-0.30677,-101.52633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-05-03,19:03:02.26,2,1,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,1,0,0,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.38092,-1.998963,2.224985,2039.178587,148.745757,11:00,6.30727,-1.68765,6.28959,-25.12238,11.24205,-6.22784,2.36944,-0.15516,80.38395,-6.677557,1.098956,0.43402,,,,,,,,,,,,3.77292,6.6352,1.52673,50,6.14757,-4.64687,-125.61405,-5.14483,6.12331,21.68483,-21.4053,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,24e2fef0-287b-11f0-9051-3b231b8373b1,86.84491,,,5.99697,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:03:02.26,2025-05-03T19:03:02.2686208-05:00,2025-05-04T00:03:02.2686208Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,76d30760-9cb1-4c87-bf82-6f21207605e8,54.21192,-126.33906,10.84242,6.30762,-4.42916,-10.70265,1.68552,-4.85159,3.06166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-03,19:03:14.06,2,2,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,1,0,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.81506,-1.213259,2.247814,2329.61384,228.422975,1:30,6.26451,-1.64149,5.81285,-35.09896,4.40614,3.72654,2.21038,0.76031,77.84975,-7.643672,2.91565,0.452374,96.81455,-34.680026,-101.268522,,,,,4.75895,3.14217,-60.06487,0.03056,-1.36492,2.85819,1.4549,50,6.14377,-4.92439,-121.81501,-3.74695,-2.07169,21.65986,-27.83586,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,2be91770-287b-11f0-9051-3b231b8373b1,83.32135,2.47368,,5.96531,,,,3.07341,2.47368,-0.61787,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:03:14.06,2025-05-03T19:03:14.0628992-05:00,2025-05-04T00:03:14.0628992Z,GroundBall,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,29e1c266-4636-4e71-81d5-091aa7e6ee03,54.68939,-122.64599,10.82993,6.26704,-2.67902,-13.91793,1.6423,-4.84491,-1.03584,,3.07362,-22.85977,,,,,,,,2.47442,-80.94408,,,,,,,,-0.61682,-114.72999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-05-03,19:03:34.82,2,3,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,1,0,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.50484,-2.764685,4.175976,2604.950812,312.445457,4:30,6.12365,-2.0001,5.42094,-47.43569,-3.37465,5.11835,-0.42796,2.34508,74.88824,-11.271631,5.085678,0.477748,,,,,,,,,,,,-1.47827,-0.70772,1.62489,50,5.84361,-8.70395,-116.55736,-7.26756,-2.0354,21.73187,-33.14847,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,3829b030-287b-11f0-9051-3b231b8373b1,78.89608,,,5.61661,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:03:34.82,2025-05-03T19:03:34.8288512-05:00,2025-05-04T00:03:34.8288512Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,c85142c5-cbfe-4299-a3e1-567813f13a56,55.08264,-117.50118,10.86594,6.12798,-5.8279,-16.57424,2.00098,-8.61555,-1.0177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-03,19:07:40.25,2,4,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,1,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.71144,-3.366824,2.73036,1645.775482,112.819975,9:45,6.3076,-1.86694,5.62834,-34.13573,6.55103,-13.02013,0.31419,-0.40233,77.54714,-9.559044,0.401809,0.45909,,,,,,,,,,,,7.31524,4.39303,1.6431,50,5.99787,-5.22873,-120.0657,-8.21668,10.87573,19.2196,-25.64284,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,ca6cc5e0-287b-11f0-9051-3b231b8373b1,82.10251,,,5.16429,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:07:40.25,2025-05-03T19:07:40.2583040-05:00,2025-05-04T00:07:40.2583040Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,8407a53c-b12b-4586-b436-0ab5e86b34a0,54.87522,-120.84359,9.6098,6.30943,-7.17883,-12.82142,1.86363,-5.6689,5.43786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-03,19:07:59.13,2,5,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Cordoba, Allen",642707,Right,CHA_JAL1,Undefined,1,Top,1,2,2,Undefined,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.31333,-1.581038,1.240145,1906.060261,145.408539,10:45,6.34034,-1.87031,5.50125,-25.49797,14.03619,-8.88607,2.73603,-1.45071,77.91076,-6.29203,-0.343918,0.452541,85.40538,45.15635,18.371242,3221.406016,100.75862,93.38115,44.13206,302.51559,299.4595,28.394828,5.587997,4.83536,7.84729,1.76824,50,6.18499,-2.29029,-122.49192,-4.22581,7.4143,22.10495,-20.14134,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,d5b012e0-287b-11f0-9051-3b231b8373b1,83.29073,111.28022,,6.40257,,,,1.87784,2.87294,1.43806,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:07:59.13,2025-05-03T19:07:59.1365632-05:00,2025-05-04T00:07:59.1365632Z,FlyBall,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,608f0611-1261-40f1-a8ee-09aeca8a2a03,54.99982,-123.39089,11.05247,6.3402,-3.40669,-10.07067,1.86752,-2.59182,3.70715,208.14138,1.89083,83.55039,-15.93778,2.17086,0.86349,-0.61674,0.15802,-0.01875,0.00086,2.86191,89.00551,-22.04714,2.69953,-0.87005,0.21421,-0.02512,0.00068,5E-05,1.42978,27.98834,0.64414,-0.17369,-0.29654,0.16467,-0.03615,0.00365,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-03,19:08:43.54,3,1,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,2,0,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.96038,-3.915617,2.430838,2133.251154,148.298009,11:00,6.27369,-1.741,6.24812,-25.9597,10.05985,-5.61811,0.4902,0.03408,81.28136,-8.703895,1.415242,0.431957,,,,,,,,,,,,3.50583,6.43792,1.56299,50,5.96883,-5.1506,-126.2456,-9.45118,5.7546,21.5886,-21.60662,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,f0b249f0-287b-11f0-9051-3b231b8373b1,87.2597,,,5.67902,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:08:43.54,2025-05-03T19:08:43.5439616-05:00,2025-05-04T00:08:43.5439616Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,0065c684-3352-474f-afda-4687ea9e7ba7,54.25433,-126.97103,10.7943,6.27421,-8.72515,-10.80331,1.73931,-5.34397,2.8773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-03,19:09:00.84,3,2,"Torres-Perez, Braulio",679001,Left,SAR_SAL,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,2,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.28745,-4.191724,2.843345,2336.410824,195.024552,12:30,6.27177,-1.6332,6.06619,-30.62974,7.86182,1.85221,-0.17169,1.1547,79.39794,-9.768633,3.17691,0.446534,,,,,,,,,,,,-0.35476,5.25851,1.41158,50,5.92904,-6.14187,-122.31726,-9.94038,-0.54916,19.21271,-24.03437,SAR_SAL,CHA_JAL1,FransicoMadero,Independent,MEX,20250503-FransicoMadero-1,fb040b00-287b-11f0-9051-3b231b8373b1,84.41121,,,4.88952,,,,,,,7efe8285-df84-4bfe-81be-c514fe02425b,2025-05-04,00:09:00.84,2025-05-03T19:09:00.8484352-05:00,2025-05-04T00:09:00.8484352Z,,v3,502,6304,809842,"Estrada, Rusber",682005,Right,SAR_SAL,278f28f1-4a01-4fdb-985f-8fe3bec1e80d,54.4373,-123.01226,9.60636,6.2729,-9.07096,-12.01718,1.6334,-6.122,-0.27458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
