PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-06,20:45:26.96,1,1,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,f08bcfd0-2ae4-11f0-96eb-23ca6f6cfc41,,,,,,,,,,,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:45:26.96,2025-05-06T20:45:26.9648768-05:00,2025-05-07T01:45:26.9648768Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-05-06,20:45:27.96,1,2,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.67936,-0.723401,2.948144,1256.629461,257.155261,2:30,5.86177,-2.36265,5.07238,-38.78368,1.58764,1.27685,1.94685,0.52563,77.57999,-7.751539,3.173648,0.457307,,,,,,,,,,,,0.21012,1.40413,2.08178,50,5.76256,-6.37505,-122.68582,-3.02978,0.31943,24.87419,-30.03962,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,f44443f0-2ae4-11f0-96eb-23ca6f6cfc41,82.42259,,,7.09937,,,,,,,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:45:27.96,2025-05-06T20:45:27.9648768-05:00,2025-05-07T01:45:27.9648768Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,cbd0c160-2cbf-4e60-8de6-e75175908e2b,55.42483,-123.7808,12.43709,5.86682,-1.70741,-15.01981,2.36272,-6.38911,0.15971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-06,20:45:42.89,1,3,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.04993,0.205324,0.990419,1213.565415,310.959828,4:15,5.7249,-2.32891,4.82034,-53.83849,-6.43851,9.41516,1.43287,-0.60612,71.60173,-9.498326,2.651049,0.495519,,,,,,,,,,,,-4.32988,-2.81646,2.22193,50,5.69863,-2.37549,-114.47571,-1.59133,-5.6285,25.15132,-35.83521,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,fd2b7880-2ae4-11f0-96eb-23ca6f6cfc41,76.06657,,,7.4482,,,,,,,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:45:42.89,2025-05-06T20:45:42.8972544-05:00,2025-05-07T01:45:42.8972544Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,15cd95ac-6ac5-4bbf-92ed-a0388b601942,55.67819,-115.71653,12.57566,5.73352,0.17658,-17.9176,2.33228,-2.09781,-2.81425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-06,20:46:07.92,1,4,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.68815,0.298555,2.271306,1270.119336,287.406922,3:30,5.77095,-2.27994,5.00314,-46.84609,-1.81067,9.70382,2.14916,0.67391,74.13434,-8.125816,3.983876,0.483002,81.79927,55.758521,-53.996406,2234.697795,,,,,52.08418,,,-4.30406,-0.67654,2.0533,50,5.76108,-4.98188,-115.74201,-1.09413,-5.8997,19.48056,-33.10141,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,0c18e1c0-2ae5-11f0-96eb-23ca6f6cfc41,78.03791,74.68257,,5.55381,,,,3.3097,2.72591,-0.45415,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:46:07.92,2025-05-06T20:46:07.9253504-05:00,2025-05-07T01:46:07.9253504Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,a7f21f01-2bcb-42c4-a694-8a60dfe3531a,55.49861,-116.66381,9.74028,5.77579,0.47219,-16.55071,2.28243,-4.70271,-2.94985,,3.3097,39.68203,-8.90364,2.26401,0.08598,-1.42746,2.01643,-1.33547,0.34643,2.72591,99.17848,-23.00339,2.30575,-1.26281,2.39962,-3.13016,2.05522,-0.53306,-0.45415,-54.61009,14.79917,-3.90018,-0.30281,2.94127,-4.12705,2.73169,-0.70869,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-05-06,20:46:43.30,1,5,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.43909,-3.13105,2.252747,1262.526332,304.429867,4:15,5.67954,-2.40599,4.91282,-52.70519,-6.06264,11.14138,-1.67839,0.65365,73.15541,-12.502517,4.224254,0.491544,,,,,,,,,,,,-4.95705,-1.85961,2.17587,50,5.32853,-4.95976,-114.9526,-8.18896,-6.53594,24.21468,-34.62595,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,2122c6d0-2ae5-11f0-96eb-23ca6f6cfc41,76.6817,,,6.28368,,,,,,,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:46:43.30,2025-05-06T20:46:43.3048576-05:00,2025-05-07T01:46:43.3048576Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,5db53682-2c35-4d3e-b415-defef044a8f3,55.58934,-116.12402,12.10734,5.68416,-6.51388,-17.31297,2.40816,-4.64358,-3.26797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-06,20:47:03.44,1,6,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.41602,-1.756029,3.175202,1705.131002,83.908633,8:45,5.55928,-2.40347,5.14447,-42.85935,0.36654,-8.62091,0.33129,-0.12931,75.43801,-9.480249,1.648083,0.473199,,,,,,,,,,,,5.1567,0.9987,2.11305,50,5.36132,-6.19462,-118.05023,-5.17974,7.31829,21.27655,-30.7567,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,2d285260-2ae5-11f0-96eb-23ca6f6cfc41,79.6546,,,5.97801,,,,,,,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:47:03.44,2025-05-06T20:47:03.4438144-05:00,2025-05-07T01:47:03.4438144Z,,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,14d2d810-9fce-4e58-abba-e5caeabbb985,55.35578,-119.0116,10.63827,5.56397,-3.79001,-15.37835,2.40042,-6.5253,3.65914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-06,20:47:17.44,1,7,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.18989,-1.484631,1.203578,1228.081623,207.921372,1:00,5.7519,-2.47167,5.26374,-32.60171,5.63677,2.39563,1.63976,-1.14119,79.69006,-7.41737,1.629012,0.445063,77.36686,8.092203,64.980909,3954.932632,,,,97.94519,96.31797,68.283782,0.956768,-0.89366,3.54469,2.3597,50,5.59193,-2.73343,-125.15608,-4.45396,-1.42828,23.45435,-26.50871,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,3584fa30-2ae5-11f0-96eb-23ca6f6cfc41,84.69003,4.73493,,6.49983,,,,-0.05538,1.3627,1.04439,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:47:17.44,2025-05-06T20:47:17.4489600-05:00,2025-05-07T01:47:17.4489600Z,GroundBall,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,637e2e96-abf7-43c5-aa09-75d146681e63,55.23499,-126.1333,11.72717,5.75449,-3.34948,-13.25436,2.47235,-2.67392,-0.71414,,-0.05538,47.51143,-12.03048,2.61466,-0.61964,0.1189,-0.02267,0.00406,-0.00042,1.3627,15.97295,-19.60145,1.73987,-0.32305,0.06458,-0.01027,0.00177,-0.00023,1.04439,101.80001,-8.7359,0.68066,-0.03939,-0.02596,0.00795,-0.00177,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2025-05-06,20:47:37.32,1,8,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.43004,-0.625967,3.970277,1614.161509,133.048583,10:30,5.63659,-2.34075,5.2209,-34.92376,7.2941,-6.4067,2.13631,0.86411,75.7375,-6.997106,2.838046,0.467649,80.63265,0.066554,-56.000664,4196.763438,,,,37.72693,37.72693,-55.583043,0.307596,4.30532,4.17689,1.97906,50,5.55249,-8.02403,-119.41483,-2.53736,6.23283,22.43634,-26.12714,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,4155ba20-2ae5-11f0-96eb-23ca6f6cfc41,80.59993,2.72879,,6.69254,,,,2.68666,2.72879,-1.29091,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:47:37.32,2025-05-06T20:47:37.3266944-05:00,2025-05-07T01:47:37.3266944Z,GroundBall,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,583f5107-43ed-4400-a0ea-6736193e0abb,55.2783,-120.40246,11.21817,5.63887,-1.38726,-13.06357,2.33831,-8.2984,3.11642,,2.6884,66.05514,-17.8062,,,,,,,2.73378,-0.07751,-28.69292,,,,,,,-1.28729,-98.20028,3.88052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2025-05-06,20:48:03.27,1,9,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,2,Undefined,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.202,-1.210113,3.393261,2492.863659,162.192374,11:30,5.72466,-2.48743,5.14853,-29.41202,9.97398,-2.83232,2.13223,0.47484,78.65535,-6.576284,2.893013,0.451692,97.86887,23.113602,-40.946362,3567.473483,78.98203,42.0213,-76.56171,362.64985,243.16389,-53.722536,4.292587,2.29477,5.61733,2.17211,50,5.5887,-7.20493,-123.54462,-3.67963,3.57509,22.76728,-23.42259,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,50cdd730-2ae5-11f0-96eb-23ca6f6cfc41,83.44722,57.0855,,6.54665,,,,2.82332,2.39625,-0.32148,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:48:03.27,2025-05-06T20:48:03.2708608-05:00,2025-05-07T01:48:03.2708608Z,LineDrive,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,0916016d-6032-492c-81bb-ef6fbbcf5fd4,55.35123,-124.52686,11.38364,5.72565,-2.66911,-11.71129,2.48628,-7.35917,1.78755,133.084596,2.8231,99.72608,-24.44696,6.25255,-1.5738,0.38214,-0.08125,0.01128,-0.00067,2.39718,56.32002,-15.21156,-0.06455,0.51574,-0.26753,0.07909,-0.01191,0.0007,-0.32121,-86.52693,5.69986,-0.05708,-0.14437,0.01302,0.00908,-0.00275,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2025-05-06,20:48:25.58,1,10,"Moyers, Steven",670625,Left,ACE_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.58237,-0.422305,1.151334,2542.00222,285.809886,3:30,5.71445,-2.41033,4.97314,-46.61495,-1.48945,9.61477,1.43092,-0.52152,74.16591,-8.793475,2.850721,0.483484,98.79367,-6.360891,-65.645309,,,,,17.20787,8.61908,-56.557479,0.112491,-4.54347,-0.34996,2.29073,50,5.63485,-2.7111,-115.65967,-2.54437,-6.22302,19.3212,-32.65339,ACE_MEX,CHA_JAL1,Monclova,Undefined Level,MEX,20250506-Monclova-1,5e1fb8e0-2ae5-11f0-96eb-23ca6f6cfc41,77.96,1.80762,,5.41647,,,,2.79638,1.80762,0.41327,a7e6de44-95e2-45c0-8379-51aa3e798ced,2025-05-07,01:48:25.58,2025-05-06T20:48:25.5859200-05:00,2025-05-07T01:48:25.5859200Z,GroundBall,v3,560,6304,809567,"Moore, Logan",607355,Right,ACE_MEX,dd31a281-1fa5-41b6-bfba-c19c1743c147,55.52879,-116.5796,9.6606,5.71898,-0.98965,-16.3267,2.41276,-2.4148,-3.11151,180,2.79532,59.44354,,,,,,,,1.8079,-16.06895,,,,,,,,0.41559,-131.3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
