PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-11,18:02:55.43,1,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gotta, Cade",657598,Right,ROJ_MEX,Undefined,1,Top,0,0,0,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.35837,-1.144869,-3.817143,2436.047209,194.550578,12:30,5.60445,2.96283,6.19615,-24.00942,8.6589,2.02374,2.54428,-0.39756,84.94953,-5.602005,-3.453096,0.411372,,,,,,,,,,,,-1.93051,5.03567,-2.67629,50,5.50586,8.77185,-132.70154,-3.4471,-3.50038,23.91843,-23.04354,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,13761340-2ebc-11f0-9a79-f155e7b4c01d,91.62616,,,6.40885,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:02:55.43,2025-05-11T18:02:55.4398720-05:00,2025-05-11T23:02:55.4398720Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,3a76ba55-1142-4f5f-bcfd-4fb8c39b6c08,54.3032,-133.47491,11.95921,5.60527,-2.70202,-11.52177,-2.96175,8.88503,-1.75019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-11,18:03:09.25,1,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Gotta, Cade",657598,Right,ROJ_MEX,Undefined,1,Top,0,0,1,Undefined,Cutter,InPlay,Undefined,FlyBall,HomeRun,0,1,,91.59547,-1.123403,-3.623739,2379.758072,184.894838,12:15,5.59206,2.98513,6.28238,-23.59958,8.42528,0.65898,2.58784,-0.30423,86.10845,-5.490656,-3.504968,0.407301,89.2822,37.845845,33.214789,,88.9033,72.28671,64.77727,333.71714,195.7972,42.809291,5.03499,-1.06689,4.8513,-2.718,50,5.49728,8.4133,-133.2479,-3.38627,-1.97241,21.02818,-23.20516,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,1baa4b80-2ebc-11f0-9a79-f155e7b4c01d,92.54207,91.31519,,5.48702,,,,2.17335,2.12447,-0.43454,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:03:09.25,2025-05-11T18:03:09.2503552-05:00,2025-05-11T23:03:09.2503552Z,FlyBall,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,d2b245ec-68b4-4aee-8fb5-eff761b33043,54.2192,-133.91208,10.51409,5.59266,-2.65332,-11.60258,-2.98472,8.4756,-0.98621,,2.17713,86.42812,-17.25505,3.56889,-0.36782,-0.04974,0.02071,-0.00218,7E-05,2.12474,80.33176,-21.19461,1.88305,-0.23893,-0.0334,0.02485,-0.00438,0.00026,-0.43312,56.61724,-3.92136,0.45574,0.00503,-0.02025,0.00456,-0.0004,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2025-05-11,18:03:57.28,2,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Castillo, Ali",542419,Right,ROJ_MEX,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27234,-1.040444,-4.65323,2284.548647,209.500546,1:00,5.55824,2.75848,6.36127,-25.68745,5.81406,2.88906,2.45686,-1.29244,86.84513,-5.78206,-4.132847,0.403959,,,,,,,,,,,,-2.42264,3.47516,-2.42248,50,5.47043,10.80142,-134.08581,-3.29029,-4.54205,20.87952,-25.6587,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,384fab40-2ebc-11f0-9a79-f155e7b4c01d,93.30761,,,5.42721,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:03:57.28,2025-05-11T18:03:57.2829696-05:00,2025-05-11T23:03:57.2829696Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,6446d649-40b9-43e1-ba99-00dc50678022,54.14007,-134.72895,10.43976,5.5596,-2.49994,-12.82935,-2.75735,10.94133,-2.27103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-11,18:04:09.46,2,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Castillo, Ali",542419,Right,ROJ_MEX,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.99875,-0.566044,-1.929417,2263.446041,232.905653,1:45,5.61453,2.8634,6.12232,-27.25533,4.64233,5.15583,2.81967,1.50874,86.31181,-5.590322,-0.999976,0.406491,,,,,,,,,,,,-3.07662,2.75374,-2.71844,50,5.55668,4.30628,-134.00125,-2.269,-5.74194,21.77709,-27.03471,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,3f9516b0-2ebc-11f0-9a79-f155e7b4c01d,92.72637,,,5.68695,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:04:09.46,2025-05-11T18:04:09.4619136-05:00,2025-05-11T23:04:09.4619136Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,6c529617-6dc6-44f9-8f47-cfb319776f9e,54.379,-134.71102,10.88854,5.61627,-1.38787,-13.51736,-2.86185,4.49343,-2.87097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-11,18:04:24.49,2,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Castillo, Ali",542419,Right,ROJ_MEX,Undefined,1,Top,0,2,0,Undefined,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,88.89054,-0.88032,-3.460004,2290.102678,245.718577,2:15,5.54853,3.08469,6.44932,-29.67096,4.33599,7.71221,2.26563,0.54468,83.02823,-6.381815,-2.063542,0.419716,93.5051,17.854086,-9.403868,2546.526553,108.92509,29.39161,-15.34014,322.30398,320.30742,-5.335589,3.289731,-4.8591,2.70177,-2.84297,50,5.47242,7.53749,-129.30905,-2.9199,-8.39124,21.92459,-27.50833,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,4884afb0-2ebc-11f0-9a79-f155e7b4c01d,89.80471,34.94527,,5.86231,,,,2.61164,2.4731,-0.57357,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:04:24.49,2025-05-11T18:04:24.4910080-05:00,2025-05-11T23:04:24.4910080Z,LineDrive,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,f58d0b76-a2e5-4398-8b74-bfc17a072958,54.05256,-129.99435,10.96229,5.55025,-2.06007,-13.75416,-3.08267,7.79978,-4.19562,209.963416,2.61173,128.77841,-16.65725,3.44942,-0.59485,0.05386,0.00954,-0.00409,0.00044,2.47298,42.05032,-14.17023,0.40712,-0.08976,0.07214,-0.03282,0.0077,-0.00071,-0.57359,-21.32818,7.01925,-1.74597,0.37916,-0.06535,0.00715,-0.00022,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-11,18:05:12.39,3,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,0,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.13704,-0.1099,-2.854934,2493.261559,93.945309,9:15,5.57613,2.78644,5.88356,-35.85569,1.35539,-5.2941,2.48598,-0.30805,80.10877,-6.679927,-3.803432,0.439044,,,,,,,,,,,,2.03595,1.02799,-2.55285,50,5.54636,6.45458,-125.20332,-1.47325,3.27522,22.09171,-30.52034,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,64fff230-2ebc-11f0-9a79-f155e7b4c01d,85.85125,,,6.02827,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:05:12.39,2025-05-11T18:05:12.3999232-05:00,2025-05-11T23:05:12.3999232Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,b9447898-2851-4559-9115-138961a7584d,54.61654,-126.01526,11.04586,5.57989,-0.35154,-15.26017,-2.78787,6.33421,1.63761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-11,18:05:32.49,3,2,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,0,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.59004,-1.526126,-4.116395,2330.66382,226.809626,1:30,5.45872,2.86782,6.33658,-23.88745,7.63851,7.28725,2.05903,-0.32143,86.42747,-5.960492,-2.801955,0.404116,,,,,,,,,,,,-4.70752,4.57776,-2.57112,50,5.33586,9.39042,-134.51511,-4.37486,-8.80923,23.34482,-23.60771,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,7115aa60-2ebc-11f0-9a79-f155e7b4c01d,93.27141,,,6.16258,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:05:32.49,2025-05-11T18:05:32.4921856-05:00,2025-05-11T23:05:32.4921856Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,4627b2e1-3dc6-4a41-baa4-7e3aa740fd41,54.16384,-135.2358,11.67241,5.45967,-3.64604,-11.80386,-2.86521,9.66238,-4.40461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-11,18:05:53.77,3,3,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,0,0,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.53741,0.600444,-3.361829,2380.129075,224.488063,1:30,5.57866,2.55297,6.03936,-27.06005,4.84914,3.96748,3.88058,-0.23267,86.07999,-4.397548,-2.649709,0.406565,,,,,,,,,,,,-2.79583,2.62811,-2.29274,50,5.61075,7.73524,-134.51749,0.4572,-5.22321,23.81653,-27.26415,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,7da7be80-2ebc-11f0-9a79-f155e7b4c01d,92.7096,,,6.45742,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:05:53.77,2025-05-11T18:05:53.7708544-05:00,2025-05-11T23:05:53.7708544Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,5ce940d3-d6f8-4afc-ba28-fc8cf07cb079,54.46062,-135.30494,11.90827,5.58073,1.35865,-13.63208,-2.55134,7.90793,-2.6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-11,18:06:13.93,3,4,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Hernandez, Yadiel",628450,Left,ROJ_MEX,Undefined,1,Top,0,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.82038,-1.751563,-3.996258,1750.900054,233.706163,1:45,5.59329,2.8932,5.78899,-35.1373,2.16634,1.76209,1.0313,-0.68356,80.87409,-8.131052,-3.681369,0.439589,,,,,,,,,,,,-1.72209,1.73693,-2.56477,50,5.42716,8.64051,-124.67092,-5.04001,-2.78178,18.86773,-29.36833,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,89c788d0-2ebc-11f0-9a79-f155e7b4c01d,85.74469,,,4.94628,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:06:13.93,2025-05-11T18:06:13.9367936-05:00,2025-05-11T23:06:13.9367936Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,2a796cb7-f1e3-43ee-9619-5341db3e8d1b,54.71242,-125.38207,9.43387,5.59626,-3.93308,-14.68416,-2.89242,8.74536,-1.39089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-11,18:06:49.74,4,1,"Rhoades, Jeremy",656889,Right,CHA_JAL1,"Ramirez, Harold",623912,Right,ROJ_MEX,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.79227,-0.329589,-3.009442,2293.887864,192.532361,12:30,5.64985,2.70916,6.12367,-22.0984,9.60686,1.94929,3.50322,0.08706,86.11172,-4.445625,-2.658832,0.405263,,,,,,,,,,,,-1.70205,5.31677,-2.47977,50,5.61294,7.00984,-134.89487,-1.51523,-3.18805,24.79288,-22.21527,CHA_JAL1,ROJ_MEX,Panamericano,Undefined Level,MEX,20250511-Panamericano-1,9efe7150-2ebc-11f0-9a79-f155e7b4c01d,93.00737,,,6.68055,,,,,,,dede3dc3-1c99-4ee0-975b-b44b84124fa6,2025-05-11,23:06:49.74,2025-05-11T18:06:49.7418240-05:00,2025-05-11T23:06:49.7418240Z,,v3,6304,536,809131,"Mendivil, Carlos",641104,Right,CHA_JAL1,58416793-54c2-4772-a898-73179d3fe3de,54.37516,-135.69662,12.39644,5.65032,-0.79684,-11.10764,-2.70812,7.11293,-1.59403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
