PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-13,20:35:02.18,1,1,"Thompson, Jake",622097,Right,GEN_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.87419,-1.86096,-2.524753,2079.196684,218.186247,1:15,6.1189,1.6907,5.81461,-27.2086,9.89107,7.08524,2.11882,-0.06802,80.71978,-6.850805,-1.255387,0.438386,,,,,,,,,,,,-4.1689,5.72315,-1.48817,50,5.94972,5.23291,-124.92411,-4.96806,-6.76587,18.7895,-22.8857,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,a7f433a0-3063-11f0-b3f5-8b7b33264e84,85.98005,,,5.15441,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:35:02.18,2025-05-13T20:35:02.1834752-05:00,2025-05-14T01:35:02.1834752Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,d96180b9-c40b-468f-bda6-46e82ad9c831,54.68865,-125.62733,9.39475,6.11963,-4.11153,-11.44285,-1.68876,5.48614,-3.38293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-13,20:35:12.15,1,2,"Thompson, Jake",622097,Right,GEN_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.05533,-2.665511,-2.074267,2208.863781,194.005619,12:30,6.19544,1.71896,5.85781,-26.42769,10.58024,2.4111,1.51321,-0.00814,80.77768,-7.513093,-1.641696,0.437843,,,,,,,,,,,,-1.67949,6.28489,-1.552,50,5.96309,4.43729,-125.11641,-6.69922,-2.72633,19.54834,-21.972,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,ade35de0-3063-11f0-b3f5-8b7b33264e84,86.08658,,,5.27766,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:35:12.15,2025-05-13T20:35:12.1541120-05:00,2025-05-14T01:35:12.1541120Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,b95b42d3-003f-434c-b698-9957bd2d3efa,54.64458,-125.83999,9.77417,6.19601,-5.88593,-10.986,-1.71812,4.53821,-1.36316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-13,20:35:26.55,1,3,"Thompson, Jake",622097,Right,GEN_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,0,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.62583,-2.293317,-3.394438,2144.032575,187.121366,12:15,6.157,1.59107,5.87917,-27.82108,9.21902,1.05287,1.70385,-1.47737,81.17035,-7.367621,-3.205892,0.438034,,,,,,,,,,,,-1.16284,5.40823,-1.31719,50,5.95469,7.34665,-124.52922,-5.91445,-1.88929,16.86303,-23.38701,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,b679da60-3063-11f0-b3f5-8b7b33264e84,86.0492,,,4.45549,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:35:26.55,2025-05-13T20:35:26.5539072-05:00,2025-05-14T01:35:26.5539072Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,5faf51c3-4fe2-4ad7-b7dd-af1b7d2f392d,54.62491,-125.15393,8.43152,6.15775,-5.04804,-11.6935,-1.59065,7.41664,-0.94464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-13,20:35:37.74,1,4,"Thompson, Jake",622097,Right,GEN_MEX,"Fargas, Johneshwy",641561,Right,CHA_JAL1,Undefined,1,Top,0,1,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.11751,-2.204696,-2.166589,1466.989064,259.521006,2:45,6.23245,1.70111,5.28525,-39.95979,2.38358,7.64587,0.82956,0.30268,76.80259,-9.378918,-0.807152,0.468343,63.08849,-37.600453,-74.022308,,,,,4.31156,4.31156,-24.561014,0.020659,-4.3178,1.88406,-1.50949,50,6.00121,4.16724,-117.98611,-5.95392,-6.2613,16.39552,-29.44196,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,bd241740-3063-11f0-b3f5-8b7b33264e84,80.4804,1.16883,,4.31492,,,,3.50367,1.16883,-0.33305,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:35:37.74,2025-05-13T20:35:37.7482752-05:00,2025-05-14T01:35:37.7482752Z,GroundBall,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,dfacf385-b42a-4c36-a96e-c05542a2b0b3,55.21931,-118.70918,8.19776,6.23515,-4.65549,-14.72098,-1.69936,4.44337,-3.13065,,3.50353,20.22221,,,,,,,,1.16923,-56.57661,,,,,,,,-0.33255,-70.62699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-05-13,20:36:10.47,2,1,"Thompson, Jake",622097,Right,GEN_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.90814,-1.292651,-2.605377,2067.583034,227.635724,1:30,6.12795,1.66311,5.85293,-27.14403,9.88489,9.86375,2.6634,0.06256,80.60181,-6.284469,-0.837219,0.437967,,,,,,,,,,,,-5.61288,5.61973,-1.45724,50,6.00659,5.30122,-124.99331,-3.72109,-9.11288,18.98735,-23.0501,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,d0aadec0-3063-11f0-b3f5-8b7b33264e84,86.06221,,,5.30633,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:36:10.47,2025-05-13T20:36:10.4779264-05:00,2025-05-14T01:36:10.4779264Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,bf289426-cc90-41e9-b4ea-f3dbf9201e84,54.65,-125.69769,9.49367,6.12877,-2.86599,-11.52505,-1.66017,5.63928,-4.55644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-13,20:36:24.03,2,2,"Thompson, Jake",622097,Right,GEN_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.89283,-0.975007,-2.376487,2534.799756,58.07965,8:00,6.25202,1.69475,5.36015,-49.45018,-5.56638,-10.65654,1.21595,-1.42319,75.25463,-9.850279,-4.272276,0.476786,,,,,,,,,,,,4.85685,-2.27555,-1.47324,50,6.12852,5.23544,-116.18655,-3.71628,6.76084,18.02577,-35.34166,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,d8c4d840-3063-11f0-b3f5-8b7b33264e84,79.05524,,,4.6382,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:36:24.03,2025-05-13T20:36:24.0361984-05:00,2025-05-14T01:36:24.0361984Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,31cc8368-6fe0-4daf-9bae-23c44fd8a366,55.14465,-116.98199,9.01288,6.2581,-2.15672,-17.67083,-1.69769,4.9371,3.38042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-13,20:36:38.32,2,3,"Thompson, Jake",622097,Right,GEN_MEX,"Wielansky, Michael",681933,Right,CHA_JAL1,Undefined,1,Top,1,1,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.35236,-1.330562,-1.979373,2158.042573,205.356925,12:45,6.11472,1.59709,5.59954,-23.37714,13.76064,6.07351,2.92345,0.25453,80.60768,-5.642102,-0.895654,0.438611,91.27731,60.02819,-7.977637,5361.111753,,,,,221.75078,,,-3.54355,7.58386,-1.43163,50,5.98535,4.09513,-125.5953,-3.70296,-5.78168,20.31405,-19.80016,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,e144e690-3063-11f0-b3f5-8b7b33264e84,85.93596,144.89648,,5.74468,,,,2.48458,2.84261,-0.60645,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:36:38.32,2025-05-13T20:36:38.3252480-05:00,2025-05-14T01:36:38.3252480Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,01d45328-e494-44a7-a2a1-622b27e34781,54.9031,-126.38585,10.15702,6.11447,-2.93241,-9.90008,-1.59538,4.32014,-2.89084,179.408109,2.48456,66.23203,-17.21861,4.47453,-0.38817,-0.45364,0.32191,-0.0968,0.01153,2.84262,115.97049,-26.29612,3.30523,-1.03501,0.53113,-0.2445,0.06607,-0.00759,-0.60645,-9.28195,2.20705,-0.56583,0.05409,0.05071,-0.03693,0.01115,-0.00133,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2025-05-13,20:37:16.97,3,1,"Thompson, Jake",622097,Right,GEN_MEX,"Smith, Dwight",596105,Left,CHA_JAL1,Undefined,1,Top,2,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.29936,0.231282,0.556966,2486.81587,68.199538,8:15,6.23659,1.69317,5.21253,-46.76837,-3.19406,-10.71367,2.55673,1.32413,75.23461,-8.198769,-1.345514,0.475102,,,,,,,,,,,,5.51792,-1.35075,-1.73616,50,6.2221,-0.70874,-116.86063,-1.20723,7.77813,18.02605,-34.07807,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,f8530010-3063-11f0-b3f5-8b7b33264e84,79.33552,,,5.06475,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:37:16.97,2025-05-13T20:37:16.9792512-05:00,2025-05-14T01:37:16.9792512Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,19307852-6aa3-4b10-afd2-4f716f1235cd,55.29178,-117.67407,9.01303,6.24188,0.33057,-17.03904,-1.69626,-1.05973,3.88907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-13,20:37:27.97,3,2,"Thompson, Jake",622097,Right,GEN_MEX,"Smith, Dwight",596105,Left,CHA_JAL1,Undefined,1,Top,2,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.77154,-1.821758,-2.20836,2113.038985,262.257413,2:45,6.10491,1.67756,5.75119,-33.89872,2.5689,12.45989,1.58221,0.65899,81.59445,-7.991377,0.02485,0.434635,,,,,,,,,,,,-6.90296,1.92331,-1.50219,50,5.93221,4.37965,-126.26603,-5.20629,-11.41715,19.80246,-28.99299,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,fed2aa80-3063-11f0-b3f5-8b7b33264e84,86.72197,,,5.17709,,,,,,,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:37:27.97,2025-05-13T20:37:27.9735296-05:00,2025-05-14T01:37:27.9735296Z,,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,40ef66bf-ae5b-44c1-b683-ae94672ff5a3,54.75339,-127.00932,9.90123,6.1072,-4.11803,-14.4965,-1.67462,4.8082,-5.70858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-13,20:37:41.10,3,3,"Thompson, Jake",622097,Right,GEN_MEX,"Smith, Dwight",596105,Left,CHA_JAL1,Undefined,1,Top,2,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.42577,-1.716721,-2.897516,2226.079459,213.267378,1:00,6.18185,1.49649,5.81924,-25.2258,11.32902,6.87772,2.48103,-0.62668,81.33932,-6.350317,-1.666189,0.435155,18.07558,-83.502369,147.799509,,,,,2.51489,2.70454,18.370081,0.096236,-4.12898,6.41532,-1.2635,50,6.02581,6.09738,-125.72947,-4.60861,-6.80356,18.45879,-21.60313,GEN_MEX,CHA_JAL1,FransicoVilla,Independent,MEX,20250513-FransicoVilla-1,06a9f5b0-3064-11f0-b3f5-8b7b33264e84,86.61846,2.68104,,5.08645,,,,2.64512,2.68104,0.62986,0c109179-52a0-47a1-9ee7-447fa98a3aef,2025-05-14,01:37:41.10,2025-05-13T20:37:41.1073024-05:00,2025-05-14T01:37:41.1073024Z,GroundBall,v3,4444,6304,809320,"Garzon, Carlos",604996,Right,GEN_MEX,83ef080a-e625-4732-9e87-8c397fa27d05,54.68445,-126.41534,9.2294,6.18214,-3.80591,-10.80157,-1.49476,6.35018,-3.40178,,2.64739,-2.68494,,,,,,,,2.70456,-27.85919,,,,,,,,0.62843,1.69083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
